Year,Month,Day,Date,State,Strength,Injuries,Fatalities,Entire Event,State Segment
1950,1,3,1/3/1950,MO,3,3,0,TRUE,FALSE
1950,1,3,1/3/1950,MO,3,3,0,FALSE,TRUE
1950,1,3,1/3/1950,IL,3,0,0,FALSE,TRUE
1950,1,3,1/3/1950,IL,3,3,0,TRUE,TRUE
1950,1,3,1/3/1950,OH,1,1,0,TRUE,TRUE
1950,1,13,1/13/1950,AR,3,1,1,TRUE,TRUE
1950,1,25,1/25/1950,MO,2,5,0,TRUE,TRUE
1950,1,25,1/25/1950,IL,2,0,0,TRUE,TRUE
1950,1,26,1/26/1950,TX,2,2,0,TRUE,TRUE
1950,2,11,2/11/1950,TX,2,0,0,TRUE,TRUE
1950,2,11,2/11/1950,TX,3,12,1,TRUE,TRUE
1950,2,11,2/11/1950,TX,2,5,0,TRUE,TRUE
1950,2,11,2/11/1950,TX,2,6,0,TRUE,TRUE
1950,2,12,2/12/1950,TX,2,8,1,TRUE,TRUE
1950,2,12,2/12/1950,TX,1,0,0,TRUE,TRUE
1950,2,12,2/12/1950,TX,2,0,0,TRUE,TRUE
1950,2,12,2/12/1950,TX,1,32,0,TRUE,TRUE
1950,2,12,2/12/1950,TX,3,15,3,TRUE,TRUE
1950,2,12,2/12/1950,MS,1,0,0,TRUE,TRUE
1950,2,12,2/12/1950,MS,2,2,3,TRUE,TRUE
1950,2,12,2/12/1950,AR,2,0,0,TRUE,TRUE
1950,2,12,2/12/1950,LA,4,77,18,TRUE,TRUE
1950,2,12,2/12/1950,LA,2,10,5,TRUE,TRUE
1950,2,12,2/12/1950,LA,3,25,5,TRUE,TRUE
1950,2,12,2/12/1950,AR,2,0,0,TRUE,TRUE
1950,2,12,2/12/1950,LA,1,0,0,TRUE,TRUE
1950,2,13,2/13/1950,TN,1,8,0,TRUE,TRUE
1950,2,13,2/13/1950,TN,2,1,9,TRUE,TRUE
1950,2,27,2/27/1950,OK,2,0,0,TRUE,TRUE
1950,3,1,3/1/1950,MS,1,0,0,TRUE,TRUE
1950,3,16,3/16/1950,FL,2,0,0,TRUE,TRUE
1950,3,19,3/19/1950,LA,1,2,0,TRUE,TRUE
1950,3,19,3/19/1950,LA,2,0,0,TRUE,TRUE
1950,3,19,3/19/1950,LA,0,0,0,TRUE,TRUE
1950,3,26,3/26/1950,AR,2,3,0,TRUE,TRUE
1950,3,26,3/26/1950,AR,3,1,0,TRUE,TRUE
1950,3,26,3/26/1950,AR,2,7,0,TRUE,TRUE
1950,3,26,3/26/1950,AR,3,20,0,TRUE,TRUE
1950,3,26,3/26/1950,AR,2,2,0,TRUE,TRUE
1950,3,27,3/27/1950,OK,2,0,0,TRUE,TRUE
1950,3,27,3/27/1950,MS,2,2,1,TRUE,TRUE
1950,3,27,3/27/1950,LA,1,2,0,TRUE,TRUE
1950,3,27,3/27/1950,MS,2,0,0,TRUE,TRUE
1950,3,27,3/27/1950,MS,2,6,0,TRUE,TRUE
1950,3,27,3/27/1950,MS,2,7,0,TRUE,TRUE
1950,3,27,3/27/1950,LA,1,0,0,TRUE,TRUE
1950,3,27,3/27/1950,MS,2,0,0,TRUE,TRUE
1950,3,27,3/27/1950,MS,1,2,0,TRUE,TRUE
1950,3,27,3/27/1950,TN,1,0,0,TRUE,TRUE
1950,3,27,3/27/1950,IL,2,0,0,TRUE,TRUE
1950,4,2,4/2/1950,AR,3,8,1,TRUE,TRUE
1950,4,2,4/2/1950,OK,2,0,0,TRUE,TRUE
1950,4,2,4/2/1950,AR,1,0,0,TRUE,TRUE
1950,4,3,4/3/1950,OK,1,0,0,TRUE,TRUE
1950,4,18,4/18/1950,AL,3,15,0,TRUE,TRUE
1950,4,18,4/18/1950,AL,2,0,0,TRUE,TRUE
1950,4,24,4/24/1950,LA,1,0,0,TRUE,TRUE
1950,4,27,4/27/1950,SC,1,0,0,TRUE,TRUE
1950,4,28,4/28/1950,OK,3,1,1,TRUE,TRUE
1950,4,28,4/28/1950,KS,1,0,0,TRUE,TRUE
1950,4,28,4/28/1950,TX,4,5,5,TRUE,TRUE
1950,4,28,4/28/1950,OK,4,32,5,TRUE,TRUE
1950,4,28,4/28/1950,OK,2,0,0,TRUE,TRUE
1950,4,29,4/29/1950,MS,2,0,0,TRUE,TRUE
1950,4,29,4/29/1950,TX,1,0,0,TRUE,TRUE
1950,5,1,5/1/1950,LA,1,0,0,TRUE,TRUE
1950,5,1,5/1/1950,MS,1,0,0,TRUE,TRUE
1950,5,1,5/1/1950,MS,-9,0,0,TRUE,TRUE
1950,5,1,5/1/1950,LA,1,0,0,TRUE,TRUE
1950,5,1,5/1/1950,LA,2,7,0,TRUE,TRUE
1950,5,1,5/1/1950,LA,0,0,0,TRUE,TRUE
1950,5,1,5/1/1950,LA,1,2,0,TRUE,TRUE
1950,5,2,5/2/1950,LA,1,1,0,TRUE,TRUE
1950,5,2,5/2/1950,LA,2,5,1,TRUE,TRUE
1950,5,4,5/4/1950,KS,1,0,0,TRUE,TRUE
1950,5,4,5/4/1950,TX,2,13,1,TRUE,TRUE
1950,5,4,5/4/1950,IA,1,0,0,TRUE,TRUE
1950,5,4,5/4/1950,OK,2,0,0,TRUE,TRUE
1950,5,4,5/4/1950,OK,1,0,0,TRUE,TRUE
1950,5,4,5/4/1950,OK,2,0,0,TRUE,TRUE
1950,5,4,5/4/1950,KS,4,1,0,TRUE,TRUE
1950,5,5,5/5/1950,KS,3,12,0,TRUE,TRUE
1950,5,7,5/7/1950,OK,1,0,0,TRUE,TRUE
